smiles,is_potent_any,split
Cc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OCc4ccc(Cl)cc4)cc3)CC2)cc1,1,train
CC[C@@H]1COC[C@@H]1Cc1cncn1C,1,train
C[C@H](Nc1nccc(-c2cc(N(C)C)nnc2-c2cccc(C(F)(F)F)c2)n1)c1ccccc1,1,train
CNC(=O)c1cc2c(Oc3ccc(COC)cc3)cncc2s1,1,train
NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1CCOCC1,1,train
CCC(=O)C1C(C2CCCCC2)CC2CCC1N2C,1,train
OC1(c2ccc(Cl)cc2)c2ccc3ccccc3c2C2=NCCN21,1,train
COC(=O)[C@H](Cc1ccc(C#Cc2ccccc2)cc1)NC(=O)CNC(=O)[C@@H]1CCCN1C(=N)N,0,train
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,1,train
CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCCN(C)C)C(C)C,1,train
O=C([C@@H]1CCCN1C(=O)CCCc1ccccc1)N1CCCC1,1,train
O=[N+]([O-])c1cccc([C@H]2CC3[C@H]4Cc5ccc(O)c6c5[C@@]3(CCN4C3CC3)[C@@H](O6)[C@H]2O)c1,1,train
COC(=O)[C@@H]1C2CC[C@H](C[C@H]1c1ccc(-c3ccccc3)cc1)N2C,1,train
OC1(c2ccc(Cl)c(Cl)c2)c2ccccc2C2=NCCN21,1,train
COC(=O)N(C)C(C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC1CCCCC1)NC(=O)C(C(C)C)N(C)C(=O)OC)C(C)C,1,train
CNC(=O)N1C(=O)C[C@H]1OC(C)=O,0,train
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N1CCCC1,0,train
CCOC(=O)C(Cc1ccc(Br)cc1)Nc1nc2ccccc2s1,1,train
O=C(Nc1ccc(F)cc1F)N(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)c1ccccn1,1,train
CNc1nc(Br)cn2cc(C#N)nc12,0,train
NC(=O)c1cc2c(Oc3cccc(C(F)(F)F)c3)cncc2s1,1,train
O=C(Cc1ccc(C(=O)O)nc1)NS(=O)(=O)c1ccccc1,0,train
O=C(CO)[C@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)c1cccc(C(=O)N2CCC[C@@H]2C(=O)C2CCCC2)c1,1,train
O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21,1,train
Cc1ccccc1/C=C/C(=O)N[C@@H](C)c1nc2scc(C)c2c(=O)o1,0,train
C#CCN(Cc1cnc2nc(N)nc(N)c2c1C)c1cc(OC)c(OC)c(OC)c1,1,train
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1,train
CCCN(CCC)C(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,1,train
C=C[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,1,train
COC(=O)[C@H](Cc1ccc(C#Cc2ccccc2)cc1)NC(=O)CNC(=O)[C@@H](CCC(N)=O)N=C(N)N,0,train
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,1,train
CCOC(=O)c1cn(Cc2c(F)cccc2F)c2nc(-c3ccc(NC(=O)c4ccccc4)cc3)c(CN(C)Cc3ccccc3)n2c1=O,1,train
CCCCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,1,train
COCCOCn1c(Sc2ccccc2)c(C)c(=O)[nH]c1=O,1,train
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccco2)cc(C(C)C)c1OCC(F)F,1,train
O=C(NO)[C@H]1CCC[C@@H]1C(=O)Nc1ccc(COc2ccnc3ccccc23)cc1,0,train
CC(C)C1=CC(=O)C(=O)c2ccccc21,0,train
O=C(O)c1cccn2c(=O)c3ccccc3nc12,0,train
CNCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H]1CCC(=O)NCCCC[C@@H](C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N2CCC[C@H]2C(=O)N[C@H](Cc2ccccc2)C(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,1,train
O=C1NC2C(=O)NC3C(=O)NC4C(=O)NC(C(=O)N[C@@H](C(=O)O)c5cc(O)cc(O)c5-c5cc4ccc5O)C(O)c4ccc(c(Cl)c4)Oc4cc3cc(c4O)Oc3ccc(cc3Cl)CC1NC(=O)C(/N=C(\S)Nc1ccccc1)c1ccc(O)c(c1)Oc1cc(O)cc2c1,0,train
CCCC(C)N(CC(=O)NO)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,0,train
CNc1c(C(C)C)cc(CN2CCOCC2)cc1C(C)C,0,train
